"Maker and Month Wise Data for Chhattisgarh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"MALKIT AGRO TECH PVT. LTD","0","1","2","1","1","0","3","0","0","8"
"MANITOU EQUIPMENT INDIA PVT LTD","0","9","2","1","1","1","0","0","0","14"
"MANKU AGRO TECH PVT LTD","2","5","3","7","1","2","3","7","0","30"
"MARUTI SUZUKI INDIA LTD","5579","4270","2069","2131","2694","2299","2473","2136","321","23972"
"MASTO INDUSTRIES PVT LTD","0","1","0","0","0","1","0","0","2","4"
"MATHARU ENGINEERING WORKS","0","0","0","0","1","0","0","0","0","1"
"MATTER MOTOR WORKS PVT LTD","0","1","2","2","2","4","1","0","0","12"
"MERCEDES -BENZ AG","3","5","1","0","3","3","1","2","0","18"
"MERCEDES-BENZ INDIA PVT LTD","27","39","9","14","16","7","15","9","1","137"
"MINI METRO EV L.L.P","2","4","6","6","3","4","9","1","1","36"
"MITHLESH HARVESTER PARTS","3","0","0","0","3","1","8","0","0","15"
"MLR AUTO LTD","1","0","0","0","0","0","0","0","0","1"
"MOVE STONE SERVICES PVT LTD","3","1","5","2","1","1","1","1","0","15"
"NEW GOBIND AGRO INDUSTRIES","0","1","0","0","0","0","0","0","0","1"
"NEW GURDIAL AGRO INDUSTRIES PVT LTD","0","0","0","0","2","0","0","0","0","2"
"NISSAN MOTOR INDIA PVT LTD","35","24","19","29","22","16","18","21","2","186"
"OBEN ELECTRIC VEHICLES PVT LTD","4","12","8","10","14","7","2","15","0","72"
"OKINAWA AUTOTECH PVT LTD","6","0","4","4","6","4","4","2","0","30"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","157","99","290","281","328","377","336","313","40","2221"
"OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD","0","0","0","0","0","8","0","7","0","15"
"OM INDUSTRIES","2","0","0","6","1","4","9","5","0","27"
"OMEGA SEIKI PVT LTD","5","5","5","10","7","4","8","5","2","51"
"OPG Mobility and Power Pvt Ltd","4","5","2","2","7","2","2","1","0","25"
"PAI MACHINES PVT LTD","3","5","2","0","5","4","3","0","0","22"
"PANESAR AGRO TECH","0","1","0","0","0","2","0","0","0","3"
"PIAGGIO VEHICLES PVT LTD","72","71","80","84","67","108","91","97","3","673"
"PINNACLE MOBILITY SOLUTIONS PVT LTD","0","0","0","0","0","0","0","0","1","1"
"PLAUDIT TECHNO INDIA PVT LTD","5","8","2","3","9","4","4","3","2","40"
"PORSCHE AG GERMANY","1","0","0","2","0","0","0","0","1","4"
"PREET AGRO INDUSTRIES PVT LTD","3","1","3","0","0","0","1","0","0","8"
"PREET CONSRUCTION EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","1","0","1"
"PUR ENERGY PVT LTD","0","0","0","0","1","0","0","2","0","3"
"QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO)","0","1","0","0","0","2","1","0","0","4"
"RAYON ENGINEERS","0","2","0","3","2","5","3","7","0","22"
"RENAULT INDIA PVT LTD","92","80","54","42","45","46","38","46","7","450"
"REVOLT INTELLICORP PVT LTD","5","0","9","13","2","2","1","12","0","44"
