"Maker and Month Wise Data for Andhra Pradesh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"M/S CHAND BABA ENGINEERING WORKS AP117954371","3","9","8","8","4","11","2","0","0","45"
"M/S DIVYA VINAYAKA AGRO INDUSTRIES AP235533077","1","2","2","4","4","1","1","7","0","22"
"M/S DURGA INDUSTRIES AP29073377","9","14","7","8","2","4","12","8","0","64"
"M/S GOWRI ENGINEERING WORKS AP29073406","6","14","6","3","2","4","7","5","1","48"
"M/S K.G.N ENGINEERING TRAILER WORKS AP312711345","3","0","2","2","0","3","0","8","0","18"
"M/S MURALI KARTHIK AGRICULTURAL WORKS AP1913663802","0","8","1","4","1","0","0","3","2","19"
"M/S MURUGAN ENGG BODY BUILDERS, PILER AP313384367","5","5","4","1","0","0","0","7","1","23"
"M/S NAZEER ENGINEERING WORKS AP28912227","1","0","0","1","0","0","0","0","0","2"
"M/S NEW MALLIKARJUNA ENGINEERING WORKS AP49601242","0","3","4","11","5","7","8","22","11","71"
"M/S PERFECT ENGINEERING WORKS, KURNOOL AP118154376","7","6","10","6","4","5","0","7","2","47"
"M/S PRASAD ENTERPRISES & ENGINEERING AP514554130","2","7","6","5","5","3","4","8","0","40"
"M/S RAKSHITA ENGINEERING WORKS AP118063505","6","8","1","12","4","5","1","8","0","45"
"M/S S R K TRAILER WORKS AP312573381","4","16","6","11","3","5","0","8","1","54"
"M/S S S G P INDUSTRIES AP121V00001","0","0","0","8","4","3","0","0","3","18"
"M/S S. SHAREEF ENGINEERING WORK SHOP AP117790841","0","1","3","3","4","4","2","3","3","23"
"M/S S.V.RAJ ENGINEERING WORKS AP118213269","3","10","7","4","10","1","0","0","0","35"
"M/S SAI SARATHKUMAR ENGINEERING WORKS AP235694000","3","4","4","1","6","4","3","5","0","30"
"M/S SAI SIVA ENGINEERING WORKS AP235644334","3","1","3","3","1","6","0","2","1","20"
"M/S SAI SRINIVASA HARVESTERS AP105244202","0","0","2","0","4","0","0","0","0","6"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","1","2","5","4","3","8","2","0","1","26"
"M/S SHIRIDI SAI TRAILER WORKS,CHITTOOR AP312874279","2","2","2","1","4","3","0","0","0","14"
"M/S SREE PRASANNA DURGA TRAILER WORKS AP315793453","0","0","3","2","2","2","0","0","0","9"
"M/S SREE SARAVANABAVA AGRO INDUSTRIES AP313373321","3","5","1","1","0","0","0","0","0","10"
"M/S SREEVANI INDUSTRIES AP28884333","5","9","3","8","5","2","9","5","2","48"
"M/S SRI BALAJI ENGINEERING WORKS ANTPR AP29073183","0","1","5","6","2","5","1","49","5","74"
