"Maker and Month Wise Data for Telangana (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"TI CLEAN MOBILITY PVT LTD","0","0","0","0","0","0","9","15","0","24"
"TIL LIMITED","0","1","0","0","0","1","0","0","0","2"
"TIRTH AGRO TECHNOLOGY PVT LTD","0","1","0","0","0","0","0","0","0","1"
"TIVOLT ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","18","7","0","25"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","1318","815","897","445","1185","1200","1173","907","151","8091"
"TRANS MECH SYSTEMS","0","4","12","4","2","2","0","0","0","24"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","4","3","0","2","9","10","9","6","2","45"
"TVS MOTOR COMPANY LTD","11216","10800","11216","11276","12007","11651","14510","12831","2093","97600"
"ULTRAVIOLETTE AUTOMOTIVE PVT LTD","45","14","7","27","41","46","74","65","7","326"
"UTTAM CONSTRUCTION EQUIPMENTS","0","0","0","0","1","1","0","2","0","4"
"V.S.T. TILLERS TRACTORS LIMITED","0","0","0","1","2","2","0","1","0","6"
"VASANT FABRICATORS PVT LTD","0","0","0","0","0","0","0","1","0","1"
"VE COMMERCIAL VEHICLES LTD","286","311","332","280","349","491","456","236","0","2741"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","0","0","0","0","0","0","12","0","0","12"
"VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD)","0","0","0","0","0","0","4","7","0","11"
"VENKATESHWARA ENGINEERING WORK","0","0","0","0","0","2","1","0","0","3"
"VIJAYALAKSHIMI ENGG WORKS","1","2","0","0","0","0","0","0","0","3"
"VINFAST AUTO INDIA PVT LTD","29","26","23","25","96","83","65","31","7","385"
"VOLKSWAGEN AG","0","1","0","2","3","2","2","0","0","10"
"VOLVO","13","5","3","1","1","1","0","0","0","24"
"VOLVO AUTO INDIA PVT LTD","0","0","0","1","10","4","9","6","2","32"
"VOLVO CE INDIA PRIVATE LIMITED","1","1","0","0","1","22","1","0","0","26"
"VOLVO GROUP INDIA PVT LTD","0","0","0","0","0","5","0","0","0","5"
"VST TILLER TRACTOR LTD","5","7","24","11","5","2","7","8","0","69"
"VST ZETOR PVT LTD","2","4","0","2","0","0","2","0","0","10"
"WARDWIZARD INNOVATIONS & MOBILITY LIMITED","1","0","0","0","0","0","0","0","0","1"
"WIRTGEN INDIA PVT LTD","1","5","0","0","2","4","2","2","1","17"
"WUXI MDKA NEW ENERGY (IMPORTER: HESTUR ENERGY)","42","19","26","55","41","28","26","17","1","255"
"XCMG CONSTRUCTION MACHINERY CO. LTD.","0","0","0","0","0","1","0","0","0","1"
"ZENMO PRIVATE LIMITED","1","0","0","0","0","0","0","0","0","1"
"ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO)","0","0","0","0","1","0","2","1","0","4"
"ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO)","0","0","0","1","0","1","0","0","0","2"
"ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO)","0","0","0","0","1","1","0","0","0","2"
