"Maker and Month Wise Data for Uttarakhand (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"MICROAUTOTECH PVT. LTD.","0","0","0","0","0","0","2","0","0","2"
"MINI METRO EV L.L.P","24","15","15","25","14","22","29","21","3","168"
"MOON AGRICULTURE & FABRICATION WORKS","6","2","0","0","1","0","0","0","0","9"
"MOTOVOLT MOBILITY PVT LTD","0","0","3","0","0","0","0","0","0","3"
"N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD","6","7","1","18","8","19","1","19","0","79"
"NAMAH INDUSTRIES PVT LTD","10","4","1","4","1","5","1","5","3","34"
"NEUON MOTORS LLP","2","0","1","1","1","0","0","0","0","5"
"NEW CHAWLA INDUSTRIES","0","0","0","0","0","8","5","3","0","16"
"NEW GOLDEN AGRICULTURE","1","1","0","0","0","0","0","0","0","2"
"NISSAN MOTOR INDIA PVT LTD","69","39","47","70","48","48","46","49","12","428"
"OBEN ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","1","0","0","1"
"OKAYA POWER PVT LTD","0","2","0","0","0","0","0","0","0","2"
"OKINAWA AUTOTECH PVT LTD","0","0","0","1","0","0","2","0","0","3"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","59","38","99","148","287","242","225","175","12","1285"
"OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD","0","0","0","1","0","1","0","0","1","3"
"OMEGA SEIKI PVT LTD","5","1","2","0","2","0","0","0","0","10"
"OPG Mobility and Power Pvt Ltd","1","2","2","2","6","1","9","2","0","25"
"PARI METRO E RICKSHAW","2","3","0","0","0","1","1","4","0","11"
"PIAGGIO VEHICLES PVT LTD","34","25","26","28","43","37","38","33","8","272"
"PORSCHE AG GERMANY","0","3","0","1","0","0","0","0","1","5"
"PREET CONSRUCTION EQUIPMENTS PVT LTD","0","1","1","1","2","2","0","0","0","7"
"PREET TRACTORS PVT LTD","1","0","1","0","0","0","0","2","0","4"
"PUR ENERGY PVT LTD","1","1","1","2","0","0","1","1","0","7"
"QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO)","0","0","0","2","0","1","1","4","3","11"
"RANA ENGINEER WORKS","4","2","1","3","4","1","1","0","2","18"
"RASANDIK ENGINEERING INDUSTRIES INDIA LTD","0","0","0","0","1","0","0","0","0","1"
